Id,Response
1,2
3,6
4,6
9,7
12,7
13,8
21,5
28,8
30,6
36,8
38,8
43,7
45,2
48,8
50,4
51,8
54,6
55,6
59,8
62,2
63,8
66,8
69,8
82,8
83,6
84,6
86,8
89,8
90,4
92,8
98,8
100,2
105,4
115,8
119,2
124,2
127,8
133,8
140,5
141,8
143,2
151,3
154,8
157,8
163,6
166,2
168,8
170,5
173,8
180,6
182,8
184,4
185,8
195,8
196,5
197,6
212,5
213,7
219,8
225,3
227,3
232,3
239,5
247,3
251,3
254,5
261,6
264,6
267,8
272,8
275,8
277,2
283,8
284,2
287,7
291,8
293,5
294,4
305,6
307,3
309,8
311,5
322,3
323,3
326,5
330,2
335,8
337,8
338,4
341,2
346,6
348,7
352,3
356,8
358,2
366,6
369,5
373,5
375,2
381,5
384,8
386,4
396,7
397,2
399,8
405,8
412,8
417,2
421,6
425,8
427,8
430,2
432,6
433,7
436,8
438,8
441,8
442,5
444,5
446,8
448,6
450,6
454,8
465,8
470,5
472,4
475,7
484,8
495,8
497,8
498,8
501,5
502,5
505,8
515,5
516,6
527,8
529,3
531,7
533,6
537,2
541,7
546,8
548,6
549,8
550,7
553,8
559,8
561,5
564,2
574,4
578,5
579,5
580,8
582,4
584,8
588,6
596,4
602,4
603,4
613,8
614,2
619,8
620,6
624,5
625,8
628,7
630,7
635,8
636,4
637,8
641,8
644,8
648,8
654,8
658,5
664,8
666,6
667,7
670,8
672,6
674,8
676,8
684,8
685,4
693,6
694,8
700,2
702,6
703,7
705,6
711,8
718,2
722,7
726,6
727,3
732,8
735,8
740,2
748,8
750,5
751,8
756,7
762,6
766,8
770,7
771,6
779,7
782,4
784,8
793,6
798,4
800,6
801,7
805,7
807,3
813,7
819,7
820,8
822,8
823,7
833,8
834,5
842,2
845,6
856,8
860,4
864,4
869,7
872,8
877,4
878,8
893,4
894,8
896,5
899,6
900,7
911,2
914,8
917,2
919,8
923,2
925,6
926,3
934,6
938,7
940,6
955,6
956,6
971,6
973,8
978,8
979,8
981,8
988,8
990,8
992,4
996,8
997,8
999,4
1000,7
1006,5
1009,3
1018,5
1025,3
1038,7
1042,8
1045,5
1046,8
1047,5
1050,5
1052,7
1054,8
1057,7
1061,2
1069,5
1071,6
1073,5
1074,8
1075,6
1083,6
1084,2
1089,4
1099,5
1103,3
1110,8
1123,8
1130,6
1135,5
1137,8
1145,8
1147,4
1152,8
1153,2
1154,8
1158,8
1166,5
1170,7
1172,8
1178,3
1179,8
1181,2
1182,7
1183,8
1191,7
1192,2
1200,2
1205,7
1207,7
1208,2
1209,2
1217,4
1223,8
1225,8
1226,2
1228,2
1230,5
1232,8
1235,8
1237,6
1257,7
1266,2
1267,5
1274,8
1277,8
1278,5
1280,8
1282,8
1293,5
1294,5
1305,8
1306,6
1311,7
1318,5
1320,8
1323,8
1325,2
1328,5
1336,4
1340,7
1341,8
1344,7
1345,6
1348,2
1358,2
1361,8
1364,5
1373,6
1377,5
1378,8
1380,6
1382,8
1383,5
1386,8
1387,2
1390,3
1395,8
1398,7
1402,4
1403,8
1405,6
1407,8
1410,2
1412,2
1419,4
1426,7
1428,8
1436,6
1437,4
1438,4
1441,8
1444,2
1448,2
1454,5
1457,5
1459,8
1463,8
1467,2
1471,6
1475,5
1476,5
1480,7
1481,2
1482,6
1489,6
1491,6
1494,8
1496,7
1500,8
1501,8
1503,7
1504,3
1505,5
1515,4
1517,7
1520,5
1521,4
1523,8
1526,8
1529,5
1530,7
1543,5
1544,8
1547,6
1550,8
1552,6
1554,6
1563,6
1574,3
1575,3
1576,6
1579,5
1582,4
1584,8
1585,8
1589,5
1596,7
1598,2
1611,7
1613,2
1615,5
1618,5
1627,6
1630,2
1638,8
1639,7
1640,8
1642,8
1645,6
1648,5
1654,4
1661,8
1662,6
1663,8
1666,6
1668,2
1670,2
1672,6
1681,6
1682,7
1683,2
1687,8
1688,8
1693,7
1694,7
1700,8
1704,4
1712,8
1716,8
1717,7
1722,6
1724,4
1738,2
1739,2
1740,8
1761,8
1763,5
1765,8
1766,6
1767,8
1771,6
1772,7
1777,8
1784,4
1799,5
1806,7
1810,2
1812,6
1814,2
1818,7
1819,8
1822,4
1823,8
1824,2
1834,5
1835,7
1844,5
1848,5
1849,8
1850,6
1851,3
1856,2
1862,2
1863,6
1872,6
1874,4
1875,8
1877,6
1900,7
1902,7
1904,6
1905,2
1908,8
1914,8
1916,2
