Id,Response
1,2
3,6
4,6
9,7
12,7
13,8
21,6
28,8
30,5
36,8
38,8
43,7
45,3
48,8
50,4
51,8
54,6
55,7
59,8
62,2
63,8
66,8
69,8
82,8
83,6
84,6
86,8
89,8
90,4
92,8
98,7
100,2
105,4
115,8
119,2
124,2
127,8
133,7
140,4
141,8
143,2
151,3
154,8
157,8
163,5
166,2
168,8
170,5
173,8
180,6
182,8
184,4
185,8
195,8
196,5
197,5
212,5
213,7
219,8
225,3
227,4
232,3
239,5
247,4
251,4
254,5
261,6
264,6
267,8
272,8
275,8
277,3
283,8
284,2
287,7
291,8
293,5
294,3
305,7
307,4
309,8
311,4
322,2
323,3
326,6
330,2
335,8
337,8
338,4
341,1
346,6
348,6
352,3
356,8
358,2
366,6
369,4
373,5
375,3
381,5
384,8
386,4
396,7
397,2
399,7
405,8
412,8
417,2
421,5
425,8
427,8
430,3
432,5
433,8
436,8
438,7
441,8
442,5
444,5
446,8
448,6
450,6
454,8
465,8
470,5
472,4
475,7
484,8
495,8
497,8
498,8
501,4
502,6
505,8
515,4
516,6
527,8
529,3
531,7
533,6
537,2
541,8
546,8
548,6
549,8
550,7
553,8
559,8
561,3
564,2
574,5
578,6
579,6
580,8
582,4
584,8
588,6
596,4
602,4
603,3
613,7
614,2
619,8
620,6
624,5
625,8
628,6
630,6
635,8
636,4
637,8
641,8
644,8
648,8
654,8
658,4
664,8
666,6
667,7
670,8
672,6
674,8
676,7
684,8
685,4
693,4
694,8
700,2
702,6
703,6
705,6
711,8
718,2
722,7
726,5
727,3
732,8
735,8
740,3
748,7
750,6
751,8
756,7
762,6
766,8
770,7
771,4
779,6
782,3
784,8
793,6
798,4
800,6
801,7
805,7
807,3
813,8
819,8
820,7
822,8
823,7
833,8
834,5
842,2
845,7
856,6
860,4
864,3
869,7
872,8
877,4
878,7
893,5
894,8
896,5
899,5
900,6
911,2
914,8
917,1
919,8
923,2
925,6
926,3
934,6
938,7
940,5
955,6
956,6
971,6
973,8
978,8
979,8
981,7
988,7
990,8
992,3
996,8
997,6
999,4
1000,8
1006,6
1009,3
1018,5
1025,3
1038,7
1042,7
1045,5
1046,8
1047,5
1050,5
1052,7
1054,8
1057,7
1061,2
1069,5
1071,6
1073,5
1074,8
1075,5
1083,5
1084,2
1089,3
1099,5
1103,3
1110,8
1123,7
1130,7
1135,6
1137,8
1145,8
1147,4
1152,8
1153,2
1154,8
1158,8
1166,6
1170,7
1172,7
1178,4
1179,8
1181,2
1182,7
1183,8
1191,7
1192,2
1200,2
1205,7
1207,6
1208,2
1209,2
1217,3
1223,8
1225,8
1226,3
1228,2
1230,5
1232,8
1235,8
1237,6
1257,7
1266,2
1267,6
1274,8
1277,8
1278,6
1280,8
1282,7
1293,5
1294,4
1305,8
1306,7
1311,7
1318,5
1320,8
1323,8
1325,2
1328,5
1336,4
1340,7
1341,8
1344,7
1345,7
1348,2
1358,1
1361,8
1364,5
1373,7
1377,5
1378,8
1380,7
1382,7
1383,4
1386,8
1387,2
1390,3
1395,8
1398,7
1402,3
1403,8
1405,7
1407,8
1410,2
1412,2
1419,5
1426,7
1428,8
1436,6
1437,3
1438,3
1441,8
1444,3
1448,2
1454,5
1457,5
1459,8
1463,7
1467,2
1471,6
1475,5
1476,4
1480,7
1481,2
1482,5
1489,5
1491,7
1494,8
1496,8
1500,8
1501,8
1503,7
1504,3
1505,4
1515,3
1517,6
1520,4
1521,4
1523,8
1526,7
1529,5
1530,7
1543,5
1544,8
1547,6
1550,8
1552,6
1554,6
1563,7
1574,4
1575,3
1576,5
1579,5
1582,3
1584,8
1585,8
1589,5
1596,7
1598,2
1611,7
1613,3
1615,5
1618,4
1627,6
1630,2
1638,8
1639,7
1640,8
1642,7
1645,6
1648,6
1654,4
1661,8
1662,7
1663,8
1666,5
1668,2
1670,2
1672,7
1681,6
1682,7
1683,2
1687,8
1688,8
1693,7
1694,7
1700,8
1704,5
1712,8
1716,8
1717,7
1722,5
1724,4
1738,2
1739,2
1740,8
1761,8
1763,6
1765,7
1766,6
1767,7
1771,6
1772,7
1777,8
1784,4
1799,5
1806,7
1810,2
1812,5
1814,2
1818,7
1819,8
1822,4
1823,8
1824,2
1834,5
1835,7
1844,5
1848,6
1849,8
1850,6
1851,3
1856,3
1862,2
1863,6
1872,6
1874,4
1875,8
1877,6
1900,7
1902,6
1904,5
1905,2
1908,8
1914,8
1916,2
