Id,Response
1,3
3,6
4,7
9,7
12,7
13,7
21,6
28,7
30,6
36,7
38,8
43,7
45,4
48,7
50,5
51,7
54,6
55,7
59,7
62,4
63,7
66,7
69,8
82,8
83,6
84,6
86,8
89,8
90,5
92,7
98,6
100,3
105,5
115,8
119,3
124,3
127,8
133,7
140,5
141,8
143,3
151,4
154,7
157,8
163,5
166,3
168,8
170,5
173,8
180,6
182,7
184,5
185,7
195,7
196,6
197,6
212,5
213,7
219,8
225,4
227,5
232,5
239,6
247,5
251,5
254,5
261,6
264,6
267,7
272,7
275,8
277,4
283,7
284,3
287,7
291,8
293,5
294,4
305,7
307,5
309,7
311,5
322,4
323,4
326,6
330,3
335,7
337,7
338,5
341,2
346,6
348,6
352,4
356,8
358,3
366,6
369,5
373,6
375,4
381,6
384,8
386,6
396,7
397,3
399,7
405,8
412,7
417,3
421,6
425,7
427,7
430,4
432,6
433,7
436,8
438,7
441,8
442,6
444,6
446,7
448,5
450,6
454,7
465,8
470,6
472,4
475,7
484,8
495,8
497,8
498,7
501,5
502,6
505,8
515,5
516,6
527,8
529,4
531,7
533,6
537,3
541,7
546,7
548,6
549,8
550,7
553,7
559,7
561,5
564,3
574,6
578,6
579,6
580,8
582,5
584,8
588,6
596,5
602,4
603,4
613,7
614,2
619,7
620,6
624,5
625,7
628,6
630,6
635,7
636,5
637,8
641,8
644,8
648,8
654,7
658,5
664,8
666,7
667,7
670,8
672,6
674,8
676,7
684,8
685,5
693,3
694,7
700,4
702,6
703,6
705,6
711,7
718,2
722,7
726,5
727,4
732,8
735,7
740,4
748,7
750,6
751,8
756,7
762,6
766,8
770,7
771,5
779,7
782,4
784,7
793,6
798,5
800,6
801,7
805,7
807,5
813,7
819,7
820,7
822,8
823,7
833,8
834,5
842,3
845,7
856,6
860,5
864,4
869,7
872,7
877,4
878,7
893,6
894,8
896,6
899,6
900,6
911,2
914,7
917,1
919,7
923,3
925,6
926,4
934,6
938,7
940,6
955,6
956,6
971,7
973,8
978,7
979,8
981,7
988,7
990,7
992,4
996,7
997,6
999,5
1000,7
1006,6
1009,4
1018,6
1025,4
1038,7
1042,7
1045,6
1046,8
1047,6
1050,5
1052,7
1054,8
1057,7
1061,4
1069,6
1071,6
1073,6
1074,8
1075,6
