Id,Response
1,3
3,6
4,7
9,7
12,7
13,8
21,6
28,8
30,5
36,8
38,8
43,6
45,3
48,8
50,5
51,7
54,6
55,8
59,8
62,3
63,8
66,8
69,8
82,8
83,6
84,6
86,8
89,7
90,3
92,7
98,6
100,1
105,4
115,8
119,1
124,2
127,8
133,7
140,5
141,8
143,2
151,3
154,8
157,8
163,4
166,1
168,8
170,5
173,8
180,6
182,8
184,5
185,7
195,8
196,6
197,4
212,5
213,7
219,8
225,3
227,4
232,4
239,5
247,5
251,4
254,5
261,6
264,6
267,7
272,7
275,8
277,3
283,7
284,2
287,7
291,8
293,5
294,3
305,6
307,4
309,8
311,4
322,2
323,3
326,5
330,1
335,8
337,8
338,4
341,1
346,5
348,5
352,2
356,8
358,2
366,6
369,4
373,5
375,3
381,5
384,8
386,5
396,7
397,2
399,7
405,8
412,8
417,2
421,5
425,8
427,8
430,3
432,5
433,8
436,8
438,7
441,8
442,5
444,4
446,8
448,7
450,6
454,8
465,8
470,5
472,3
475,8
484,8
495,7
497,8
498,8
501,4
502,5
505,8
515,3
516,6
527,8
529,2
531,7
533,5
537,2
541,8
546,8
548,6
549,8
550,7
553,8
559,7
561,3
564,1
574,5
578,7
579,6
580,8
582,5
584,8
588,6
596,5
602,4
603,3
613,7
614,1
619,8
620,6
624,5
625,8
628,5
630,6
635,7
636,4
637,8
641,8
644,8
648,8
654,8
658,5
664,8
666,6
667,7
670,8
672,5
674,8
676,7
684,8
685,4
693,2
694,8
700,2
702,6
703,6
705,6
711,8
718,1
722,7
726,5
727,3
732,8
735,8
740,3
748,7
750,7
751,8
756,7
762,6
766,8
770,7
771,3
779,7
782,3
784,8
793,6
798,5
800,6
801,7
805,7
807,4
813,8
819,8
820,6
822,8
823,7
833,8
834,5
842,2
845,7
856,4
860,5
864,3
869,7
872,8
877,5
878,7
893,7
894,8
896,6
899,5
900,7
911,1
914,7
917,1
919,7
923,1
925,6
926,3
934,6
938,7
940,6
955,5
956,7
971,6
973,8
978,8
979,8
981,8
988,7
990,8
992,4
996,8
997,5
999,5
1000,8
1006,7
1009,2
1018,5
1025,4
1038,8
1042,7
1045,5
1046,8
1047,6
1050,5
1052,7
1054,8
1057,7
1061,2
1069,5
1071,6
1073,6
1074,8
1075,5
