Id,Response
1,3
3,6
4,7
9,7
12,7
13,8
21,6
28,8
30,6
36,8
38,8
43,6
45,3
48,8
50,5
51,8
54,5
55,8
59,8
62,3
63,8
66,8
69,8
82,8
83,7
84,6
86,8
89,8
90,3
92,7
98,6
100,3
105,4
115,8
119,3
124,3
127,8
133,7
140,5
141,8
143,1
151,3
154,7
157,8
163,4
166,3
168,8
170,4
173,8
180,6
182,8
184,6
185,7
195,8
196,6
197,4
212,5
213,8
219,8
225,4
227,4
232,3
239,6
247,4
251,4
254,6
261,6
264,6
267,8
272,8
275,8
277,4
283,8
284,3
287,6
291,8
293,6
294,3
305,7
307,4
309,8
311,4
322,3
323,3
326,6
330,1
335,8
337,8
338,4
341,1
346,6
348,5
352,3
356,8
358,3
366,7
369,4
373,6
375,3
381,5
384,8
386,4
396,7
397,3
399,7
405,8
412,8
417,3
421,6
425,7
427,8
430,4
432,5
433,8
436,8
438,8
441,8
442,6
444,5
446,8
448,7
450,6
454,8
465,8
470,5
472,3
475,8
484,8
495,8
497,8
498,8
501,4
502,6
505,8
515,3
516,5
527,8
529,3
531,8
533,6
537,3
541,8
546,8
548,5
549,8
550,7
553,8
559,7
561,3
564,1
574,5
578,7
579,6
580,8
582,4
584,8
588,5
596,4
602,4
603,3
613,7
614,1
619,8
620,7
624,4
625,8
628,6
630,6
635,8
636,5
637,8
641,8
644,8
648,8
654,8
658,4
664,8
666,7
667,8
670,8
672,6
674,8
676,7
684,8
685,4
693,3
694,8
700,3
702,6
703,6
705,6
711,8
718,1
722,8
726,5
727,5
732,8
735,8
740,5
748,7
750,7
751,8
756,7
762,7
766,8
770,7
771,4
779,7
782,3
784,8
793,6
798,4
800,6
801,8
805,7
807,5
813,8
819,8
820,7
822,8
823,7
833,8
834,5
842,3
845,7
856,6
860,5
864,3
869,8
872,8
877,4
878,7
893,7
894,8
896,6
899,5
900,7
911,1
914,6
917,1
919,7
923,1
925,5
926,3
934,6
938,8
940,6
955,6
956,7
971,6
973,8
978,8
979,8
981,7
988,7
990,8
992,3
996,8
997,6
999,5
1000,8
1006,6
1009,3
1018,6
1025,3
1038,7
1042,6
1045,6
1046,8
1047,5
1050,5
1052,8
1054,8
1057,7
1061,3
1069,5
1071,7
1073,6
1074,8
1075,5
