Id,Response
1,2
3,6
4,6
9,7
12,7
13,7
21,6
28,8
30,5
36,8
38,8
43,7
45,2
48,8
50,6
51,7
54,5
55,8
59,8
62,2
63,8
66,8
69,8
82,8
83,6
84,6
86,8
89,8
90,3
92,8
98,6
100,2
105,4
115,8
119,2
124,2
127,8
133,7
140,5
141,8
143,2
151,3
154,6
157,8
163,4
166,2
168,8
170,5
173,8
180,6
182,8
184,5
185,8
195,8
196,7
197,5
212,6
213,7
219,8
225,2
227,4
232,3
239,6
247,4
251,4
254,5
261,7
264,7
267,8
272,7
275,8
277,4
283,7
284,2
287,7
291,8
293,6
294,2
305,6
307,4
309,8
311,4
322,3
323,3
326,5
330,2
335,8
337,8
338,4
341,2
346,7
348,6
352,2
356,8
358,2
366,6
369,4
373,6
375,3
381,6
384,8
386,6
396,7
397,2
399,7
405,8
412,8
417,3
421,5
425,7
427,7
430,4
432,5
433,8
436,8
438,8
441,8
442,6
444,5
446,8
448,7
450,6
454,8
465,8
470,4
472,3
475,8
484,8
495,8
497,8
498,8
501,4
502,6
505,8
515,2
516,5
527,8
529,3
531,8
533,5
537,2
541,8
546,8
548,4
549,8
550,7
553,8
559,7
561,3
564,2
574,5
578,8
579,6
580,8
582,5
584,8
588,5
596,4
602,3
603,2
613,7
614,2
619,8
620,7
624,4
625,8
628,5
630,5
635,7
636,5
637,8
641,8
644,8
648,8
654,8
658,5
664,8
666,6
667,8
670,8
672,6
674,8
676,8
684,8
685,4
693,2
694,7
700,2
702,6
703,6
705,5
711,8
718,2
722,7
726,4
727,5
732,8
735,7
740,4
748,7
750,6
751,8
756,7
762,6
766,8
770,7
771,3
779,7
782,3
784,8
793,6
798,4
800,6
801,7
805,7
807,3
813,8
819,8
820,6
822,8
823,7
833,8
834,5
842,3
845,8
856,6
860,4
864,2
869,7
872,7
877,5
878,7
893,7
894,8
896,6
899,4
900,6
911,2
914,6
917,1
919,7
923,2
925,4
926,2
934,6
938,8
940,5
955,6
956,6
971,6
973,8
978,8
979,8
981,7
988,7
990,8
992,3
996,8
997,5
999,5
1000,8
1006,5
1009,2
1018,6
1025,4
1038,7
1042,7
1045,5
1046,8
1047,4
1050,4
1052,8
1054,8
1057,7
1061,2
1069,5
1071,6
1073,6
1074,8
1075,5
1083,5
1084,2
1089,4
1099,5
1103,3
1110,8
1123,8
1130,7
1135,7
1137,8
1145,8
1147,4
1152,8
1153,2
1154,8
1158,8
1166,6
1170,8
1172,6
1178,4
1179,8
1181,2
1182,8
1183,8
1191,6
1192,2
1200,2
1205,6
1207,6
1208,2
1209,5
1217,4
1223,8
1225,8
1226,2
1228,3
1230,5
1232,8
1235,8
1237,7
1257,7
1266,2
1267,5
1274,8
1277,8
1278,5
1280,8
1282,8
1293,6
1294,2
1305,8
1306,7
1311,7
1318,5
1320,7
1323,8
1325,2
1328,5
1336,4
1340,8
1341,8
1344,7
1345,7
1348,2
1358,2
1361,8
1364,5
1373,8
1377,5
1378,8
1380,7
1382,6
1383,4
1386,8
1387,2
1390,3
1395,8
1398,6
1402,3
1403,8
1405,8
1407,8
1410,1
1412,2
1419,4
1426,7
1428,8
1436,6
1437,2
1438,4
1441,8
1444,3
1448,2
1454,4
1457,6
1459,8
1463,7
1467,2
1471,7
1475,5
1476,4
1480,7
1481,2
1482,4
1489,4
1491,7
1494,8
1496,8
1500,8
1501,8
1503,7
1504,3
1505,3
1515,3
1517,5
1520,4
1521,3
1523,8
1526,8
1529,5
1530,7
1543,5
1544,8
1547,6
1550,8
1552,7
1554,6
1563,6
1574,5
1575,3
1576,5
1579,3
1582,2
1584,8
1585,8
1589,4
1596,7
1598,2
1611,7
1613,2
1615,6
1618,4
1627,6
1630,2
1638,8
1639,7
1640,8
1642,7
1645,6
1648,6
1654,3
1661,7
1662,8
1663,8
1666,3
1668,2
1670,2
1672,8
1681,6
1682,7
1683,2
1687,8
1688,7
1693,7
1694,7
1700,8
1704,7
1712,8
1716,8
1717,6
1722,4
1724,3
1738,2
1739,2
1740,8
1761,8
1763,8
1765,8
1766,7
1767,8
1771,6
1772,7
1777,7
1784,2
1799,3
1806,7
1810,2
1812,4
1814,2
1818,8
1819,8
1822,5
1823,7
1824,2
1834,5
1835,7
1844,5
1848,5
1849,8
1850,5
1851,3
1856,3
1862,2
1863,6
1872,5
1874,3
1875,8
1877,8
1900,7
1902,5
1904,5
1905,2
1908,8
1914,8
1916,2
