Id,Prediction,Response
2,8,8
5,3,4
6,8,8
7,8,8
8,8,8
10,7,8
11,8,8
14,6,1
15,8,8
16,5,1
17,3,6
18,3,2
19,7,7
20,1,3
22,7,8
23,4,5
24,7,8
25,8,7
26,1,2
27,8,8
29,8,8
31,5,5
32,2,5
33,8,8
34,6,6
35,6,8
37,5,6
39,8,8
40,7,7
41,7,6
42,4,4
44,5,7
46,6,7
47,3,5
49,5,2
52,6,7
53,7,8
56,7,1
57,1,1
58,3,6
60,5,6
61,3,2
64,1,5
65,6,7
67,3,2
68,6,7
70,5,6
71,7,8
72,6,5
73,5,2
74,7,2
75,6,7
76,5,6
77,1,4
78,6,7
79,5,5
80,5,2
81,5,7
85,8,8
87,5,6
88,6,8
91,8,7
93,3,3
94,6,5
95,8,8
96,5,6
97,7,8
99,7,7
101,6,7
102,5,6
103,4,6
104,8,8
106,5,5
107,8,7
108,6,6
109,5,7
110,8,6
111,8,6
112,7,6
113,8,5
114,2,4
116,2,1
117,4,7
118,7,7
120,2,1
121,8,8
122,8,8
123,1,2
125,5,6
126,8,8
128,7,8
129,5,5
130,2,1
131,8,8
132,8,6
134,3,6
135,5,6
136,4,1
137,8,8
138,8,8
139,1,1
142,5,6
144,7,5
145,8,7
146,8,8
147,1,1
148,2,1
149,8,8
150,1,2
152,6,8
153,8,8
155,3,2
156,8,8
158,8,8
159,3,6
160,5,7
161,6,6
162,3,2
164,4,2
165,5,6
167,6,6
169,8,8
171,8,8
172,5,1
174,4,6
175,8,8
176,3,5
177,8,8
178,3,5
179,1,2
181,5,5
183,8,8
186,3,2
187,6,8
188,8,8
189,8,8
190,7,6
191,3,1
192,8,7
193,4,1
194,7,6
198,4,2
199,1,5
200,7,2
201,8,8
202,3,7
203,4,5
204,8,7
205,4,6
206,3,5
207,1,1
208,6,6
209,2,1
210,6,2
211,6,7
214,5,6
215,8,8
216,7,7
217,7,6
218,4,1
220,3,4
221,8,7
222,8,8
223,6,8
224,8,6
226,5,7
228,3,6
229,4,7
230,8,8
231,3,5
233,8,8
234,6,6
235,6,6
236,3,7
237,8,8
238,3,2
240,6,1
241,8,6
242,6,1
243,8,8
244,8,5
245,7,6
246,6,7
248,7,7
249,2,6
250,2,1
252,4,6
253,6,6
255,6,2
256,3,6
257,6,8
258,1,2
259,5,1
260,8,6
262,6,7
263,4,2
265,7,8
266,3,4
268,8,7
269,6,8
270,7,8
271,8,8
273,8,7
274,8,8
276,4,7
278,8,8
279,6,1
280,6,7
281,5,1
282,5,2
285,7,8
286,7,8
288,6,8
289,3,5
290,8,8
292,8,6
295,3,2
296,7,6
297,1,2
298,8,8
299,1,1
300,1,5
301,8,8
302,3,1
303,5,2
304,5,6
