Id,Response
1,3
3,5
4,7
9,6
12,7
13,8
21,6
28,8
30,5
36,8
38,8
43,5
45,3
48,8
50,4
51,7
54,5
55,8
59,8
62,3
63,8
66,8
69,8
82,8
83,6
84,6
86,8
89,8
90,4
92,8
98,6
100,3
105,4
115,8
119,2
124,2
127,8
133,7
140,4
141,8
143,2
151,3
154,7
157,8
163,4
166,2
168,8
170,4
173,8
180,6
182,8
184,4
185,8
195,8
196,6
197,5
212,5
213,8
219,8
225,2
227,4
232,4
239,6
247,5
251,4
254,5
261,6
264,6
267,8
272,8
275,8
277,4
283,8
284,2
287,6
291,8
293,5
294,3
305,6
307,4
309,8
311,4
322,3
323,3
326,6
330,2
335,8
337,8
338,4
341,2
346,6
348,6
352,3
356,8
358,3
366,6
369,4
373,5
375,3
381,5
384,8
386,5
396,6
397,2
399,6
405,8
412,8
417,3
421,5
425,7
427,8
430,4
432,5
433,8
436,8
438,8
441,8
442,6
444,5
446,8
448,7
450,5
454,8
465,8
470,6
472,4
475,8
484,8
495,8
497,8
498,8
501,4
502,5
505,8
515,3
516,5
527,8
529,3
531,7
533,5
537,2
541,8
546,8
548,5
549,8
550,6
553,8
559,8
561,3
564,2
574,5
578,7
579,6
580,8
582,4
584,8
588,5
596,4
602,3
603,3
613,6
614,2
619,8
620,6
624,4
625,8
628,6
630,6
635,8
636,4
637,8
641,8
644,8
648,8
654,8
658,4
664,8
666,6
667,8
670,8
672,6
674,8
676,7
684,8
685,4
693,3
694,8
700,3
702,6
703,6
705,5
711,8
718,2
722,7
726,5
727,4
732,8
735,8
740,4
748,7
750,7
751,8
756,7
762,6
766,8
770,7
771,4
779,6
782,4
784,8
793,6
798,4
800,6
801,8
805,6
807,5
813,8
819,8
820,7
822,8
823,6
833,8
834,5
842,3
845,7
856,5
860,4
864,2
869,8
872,7
877,4
878,7
893,6
894,8
896,6
899,4
900,6
911,2
914,6
917,1
919,7
923,2
925,5
926,3
934,6
938,8
940,5
955,6
956,6
971,6
973,8
978,8
979,8
981,7
988,7
990,8
992,3
996,8
997,6
999,4
1000,8
1006,6
1009,2
1018,6
1025,4
1038,7
1042,7
1045,5
1046,8
1047,5
1050,4
1052,7
1054,8
1057,7
1061,3
1069,5
1071,7
1073,6
1074,8
1075,4
1083,4
1084,2
1089,3
1099,5
1103,3
1110,8
1123,8
1130,7
1135,7
1137,8
1145,8
1147,4
1152,8
1153,2
1154,8
1158,8
1166,6
1170,8
1172,6
1178,5
1179,8
1181,3
1182,8
1183,8
1191,6
1192,2
1200,3
1205,7
1207,5
1208,3
1209,3
1217,3
1223,8
1225,8
1226,3
1228,3
1230,5
1232,8
1235,8
1237,6
1257,6
1266,2
1267,5
1274,8
1277,8
1278,5
1280,8
1282,8
1293,6
1294,3
1305,8
1306,7
1311,7
1318,5
1320,8
1323,8
1325,3
1328,5
1336,4
1340,7
1341,8
1344,7
1345,7
1348,3
1358,2
1361,8
1364,5
1373,8
1377,5
1378,7
1380,6
1382,5
1383,4
1386,8
1387,2
1390,3
1395,8
1398,6
1402,3
1403,8
1405,8
1407,8
1410,2
1412,2
1419,4
1426,6
1428,8
1436,6
1437,3
1438,4
1441,8
1444,3
1448,3
1454,4
1457,6
1459,8
1463,7
1467,2
1471,5
1475,5
1476,4
1480,7
1481,2
1482,4
1489,4
1491,7
1494,8
1496,8
1500,8
1501,8
1503,8
1504,3
1505,3
1515,3
1517,4
1520,4
1521,3
1523,8
1526,8
1529,4
1530,7
1543,5
1544,8
1547,6
1550,8
1552,6
1554,5
1563,6
1574,6
1575,3
1576,5
1579,4
1582,3
1584,8
1585,8
1589,4
1596,7
1598,2
1611,7
1613,3
1615,6
1618,4
1627,7
1630,3
1638,8
1639,6
1640,8
1642,8
1645,6
1648,6
1654,4
1661,8
1662,7
1663,8
1666,4
1668,3
1670,2
1672,6
1681,6
1682,7
1683,2
1687,8
1688,7
1693,7
1694,7
1700,8
1704,6
1712,8
1716,8
1717,7
1722,4
1724,4
1738,2
1739,2
1740,8
1761,8
1763,7
1765,7
1766,6
1767,8
1771,5
1772,6
1777,8
1784,3
1799,4
1806,7
1810,2
1812,5
1814,2
1818,7
1819,8
1822,5
1823,8
1824,2
1834,4
1835,7
1844,4
1848,5
1849,8
1850,5
1851,4
1856,4
1862,2
1863,5
1872,4
1874,3
1875,8
1877,7
1900,7
1902,6
1904,5
1905,2
1908,8
1914,8
1916,2
1922,4
1933,7
1934,5
1939,6
1942,5
1947,8
1957,8
1971,8
1973,3
1974,6
1977,6
1981,6
1985,8
1987,6
1989,7
2001,3
2002,2
2007,2
2008,8
2011,5
2021,7
2034,7
2040,8
2044,4
2045,8
2048,8
2051,8
2062,8
2066,2
2068,4
2069,3
2074,8
2075,8
2078,8
2079,1
2080,2
2081,4
2084,2
2085,8
2087,7
2096,5
2102,6
2103,5
2107,8
2117,5
2118,2
2120,6
2121,3
2122,4
2130,8
2136,3
2138,8
2140,8
2143,8
2144,4
2145,5
2147,7
2150,2
2154,8
2155,2
2166,4
2169,3
2173,6
2176,1
2178,7
2179,4
2180,8
2184,8
2185,8
2188,6
2190,7
2194,7
2195,7
2198,5
2205,8
2206,8
2207,3
2212,6
2213,6
2216,8
2218,2
2224,8
2225,8
2228,8
2236,6
2242,8
2246,5
2250,8
2255,6
2256,2
2267,4
2268,7
2269,6
2272,4
2275,2
2280,8
2282,8
2287,8
2289,8
2293,8
2296,7
2307,6
2309,6
2313,6
2325,5
2327,7
2336,4
2339,6
2342,8
2347,8
2350,4
2360,6
2364,7
2369,2
2379,2
2394,7
2395,5
2399,8
2402,8
2410,8
2416,7
2420,8
2427,6
2434,8
2435,7
2441,8
2447,6
2452,6
2463,5
2467,3
2468,8
2470,6
2476,6
2483,2
