LogisticRegression,XGBoost,BaggingLinearRegression_n_estimators=10,BaggingDescisionTrees_n_estimators=20,XGBoostLinear,Keras100/50Layers6Epochs
1,3,2.89166772783,4,3.73189258575,1.97857570648
6,6,5.08568746286,7,5.98362970352,6.14647531509
8,7,6.31866966791,6,6.06679439545,6.48864841461
8,6,6.20208368153,5,6.02407264709,8.0
8,7,6.21720886561,6,6.42931747437,7.06143522263
8,8,6.56302942995,8,6.50092077255,8.0
6,5,5.78691698477,8,5.95198965073,6.2247262001
8,8,7.03428116753,8,7.07549238205,8.0
7,6,5.74175760761,5,4.8903336525,6.81646680832
8,8,6.92708691044,7,6.97388267517,8.0
8,8,7.81487355348,8,7.85376834869,8.0
8,6,6.37654981657,7,6.68506526947,8.0
4,3,4.47950146211,3,3.57140421867,3.29755425453
8,8,6.89204454453,8,7.78177309036,8.0
4,6,4.75727971028,3,5.76410293579,3.90889525414
8,8,6.6775389733,6,6.77547121048,8.0
7,5,5.76693840265,6,5.94183588028,7.09880781174
8,8,6.18744085639,8,7.16823005676,6.70982122421
8,8,6.19550024358,8,7.51962423325,8.0
2,4,3.17974834896,2,3.91816186905,4.44397926331
8,8,6.13673448814,8,7.8741941452,8.0
8,8,7.00950516225,8,7.64516496658,8.0
8,8,7.74413390794,8,8.0,8.0
8,8,7.24732351694,8,7.40327835083,8.0
6,6,6.04072613307,6,6.51828956604,6.19118022919
7,6,5.51360947247,6,5.63639307022,6.92510032654
8,8,6.97039467254,7,7.24278354645,8.0
8,8,7.6178758268,8,7.31717729568,8.0
7,3,4.32406848713,4,4.07509613037,5.94575357437
8,6,6.35927062195,6,7.59045171738,8.0
7,6,5.76952125686,6,5.84456014633,6.9647808075
4,2,3.57136356277,2,2.47636938095,3.61328411102
5,4,5.43250846818,5,5.17801904678,5.75168037415
8,8,7.54297424548,8,7.77931308746,8.0
3,2,3.25845092122,2,3.23256087303,3.60196709633
4,2,3.87983812337,2,3.03245806694,5.31504249573
8,8,7.71492068116,8,7.64631605148,8.0
8,7,6.9081884132,6,6.52492237091,8.0
6,5,5.29362315311,6,5.2691950798,5.98307180405
8,8,7.89288141859,8,7.94418239594,8.0
2,2,4.28892244701,2,2.33593654633,2.34738349915
