Id,Response
1,3
3,6
4,6
9,6
12,6
13,7
21,6
28,7
30,5
36,7
38,8
43,7
45,4
48,8
50,6
51,7
54,5
55,7
59,7
62,4
63,7
66,7
69,8
82,8
83,6
84,6
86,7
89,7
90,4
92,7
98,6
100,3
105,5
115,8
119,3
124,3
127,8
133,6
140,5
141,8
143,3
151,4
154,6
157,7
163,5
166,3
168,8
170,5
173,7
180,6
182,7
184,5
185,7
195,7
196,6
197,5
212,6
213,7
219,8
225,3
227,5
232,4
239,6
247,5
251,4
254,5
261,6
264,6
267,7
272,7
275,7
277,5
283,7
284,3
287,6
291,8
293,6
294,4
305,6
307,5
309,7
311,4
322,4
323,4
326,5
330,2
335,7
337,7
338,5
341,2
346,6
348,6
352,3
356,8
358,4
366,6
369,5
373,6
375,4
381,6
384,7
386,5
396,7
397,3
399,6
405,8
412,7
417,4
421,5
425,7
427,6
430,4
432,5
433,7
436,7
438,7
441,8
442,6
444,5
446,7
448,7
450,6
454,7
465,7
470,5
472,4
475,7
484,7
495,7
497,8
498,7
501,5
502,6
505,7
515,3
516,5
527,8
529,4
531,7
533,5
537,3
541,7
546,7
548,5
549,8
550,6
553,7
559,7
561,4
564,2
574,5
578,7
579,6
580,8
582,5
584,8
588,5
596,5
602,4
603,4
613,7
614,2
619,7
620,6
624,4
625,8
628,5
630,5
635,6
636,5
637,8
641,7
644,7
648,8
654,7
658,5
664,8
666,6
667,7
670,8
672,6
674,7
676,7
684,8
685,5
693,3
694,7
700,3
702,6
703,6
705,5
711,7
718,2
722,7
726,5
727,5
732,8
735,7
740,5
748,7
750,6
751,8
756,6
762,6
766,7
770,7
771,4
779,6
782,4
784,7
793,6
798,4
800,6
801,7
805,6
807,4
813,7
819,7
820,6
822,8
823,6
833,8
834,5
842,4
845,7
856,6
860,5
864,3
869,7
872,7
877,5
878,6
893,7
894,7
896,6
899,4
900,6
911,2
914,6
917,1
919,7
923,2
925,4
926,3
934,6
938,7
940,5
955,6
956,6
971,6
973,7
978,7
979,8
981,6
988,6
990,7
992,4
996,7
997,5
999,5
1000,7
1006,5
1009,3
1018,5
1025,4
1038,7
1042,7
1045,5
1046,8
1047,5
1050,5
1052,7
1054,7
1057,7
1061,3
1069,5
1071,6
1073,6
1074,8
1075,5
